fieldsample_barcode	sampling_method	cell.10km_representative	extraction_method	extraction_id1	extraction_id2	extractionplate_id1	extractionplate_id2	extraction_row1	extraction_row2	extraction_col1	extraction_col2	extraction_conc1	extraction_conc2	library_method	library_id1	library_id2	libraryplate_id1	libraryplate_id2	library_row1	library_row2	library_col1	library_col2	library_conc1	library_conc2	sequencing_method	sequencing_id1	sequencing_id2	internal_name	before_total_reads	after_total_reads	passed_filter_reads	corrected_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads	before_total_bases	before_q20_bases	before_q30_bases	after_total_bases	after_q20_bases	after_q30_bases	corrected_bases	before_read1_mean_length	before_read2_mean_length	after_read1_mean_length	after_read2_mean_length	before_q20_rate	before_q30_rate	after_q20_rate	after_q30_rate	duplication_rate	before_gc_content	after_gc_content	peak_length
MFD10744	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ370-B3		EXT00115		B		3		19.97		ILLUMINA-DNA-PREP.V2	LIB-MJ381-B3		LIB00115		B		3		0.49		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ381-B3_02		LIB-MJ381-B3_02.fastq.gz	42832148	30279562	30870620	969175	1589526	10	10371992	0	6467654348	6138279867	5698071124	4457527713	4366902408	4140460068	1181248	151	151	147	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10828	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ369-C7		EXT00114		C		7		49.12		ILLUMINA-DNA-PREP.V2	LIB-MJ380-C7		LIB00114		C		7		0.54		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ380-C7_03		LIB-MJ380-C7_03.fastq.gz	31225848	22674322	23390712	426712	1398836	36	6436264	0	4715103048	4457938853	4127279127	3362950153	3290916115	3115948633	531354	151	151	148	148	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10917	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ373-A1		EXT00118		A		1		20.58		ILLUMINA-DNA-PREP.V2	LIB-MJ384-A1		LIB00118		A		1		0.57		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ384-A1_01		LIB-MJ384-A1_01.fastq.gz	29783322	19653814	20269002	879927	1548068	18	7966234	0	4497281622	4216450546	3878614568	2894671352	2827412401	2668099020	1125060	151	151	147	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10788	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ370-F6		EXT00115		F		6		134.09		ILLUMINA-DNA-PREP.V2	LIB-MJ381-F6		LIB00115		F		6		0.83		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ381-F6_02		LIB-MJ381-F6_02.fastq.gz	41233968	29157368	29723092	760426	1593894	10	9916972	0	6226329168	5907465042	5479634041	4297947463	4208213883	3986689450	926053	151	151	147	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10822	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ371-F9		EXT00116		F		9		26.2		ILLUMINA-DNA-PREP.V2	LIB-MJ382-F9		LIB00116		F		9		0.39		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ382-F9_02		LIB-MJ382-F9_02.fastq.gz	38982822	28438584	29082750	615430	1401082	70	8498920	0	5886406122	5615769324	5238475191	4202907943	4122385079	3919432353	746964	151	151	148	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD10909	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ373-F2		EXT00118		F		2		43.03		ILLUMINA-DNA-PREP.V2	LIB-MJ384-F2		LIB00118		F		2		0.65		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ384-F2_01		LIB-MJ384-F2_01.fastq.gz	19512330	11675384	11908466	716311	1022358	6	6581500	0	2946361830	2735553180	2494364098	1704951272	1657736905	1551733788	945337	151	151	145	146	0.9	0.8	1	0.9	0	0.6	0.6	151
MFD10891	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ374-D4		EXT00119		D		4		136.18		ILLUMINA-DNA-PREP.V2	LIB-MJ385-D4		LIB00119		D		4		0.51		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ385-D4_04		LIB-MJ385-D4_04.fastq.gz	34980728	24861852	25327598	484497	1457244	210	8195676	0	5282089928	5006593731	4637483730	3677883205	3598611618	3405376486	598310	151	151	148	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10921	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ372-A8		EXT00117		A		8		18.08		ILLUMINA-DNA-PREP.V2	LIB-MJ383-A8		LIB00117		A		8		0.79		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ383-A8_01		LIB-MJ383-A8_01.fastq.gz	81203262	60451276	62086470	1547001	2948494	142	16168156	0	12261692562	11674309289	10885786924	8933745048	8762080067	8333698610	1914578	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD10720	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ373-A12		EXT00118		A		12		11.58		ILLUMINA-DNA-PREP.V2	LIB-MJ384-A12		LIB00118		A		12		0.38		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ384-A12_01		LIB-MJ384-A12_01.fastq.gz	29736144	19442646	20020346	972100	1479934	12	8235852	0	4490157744	4209320664	3874573004	2852380132	2786008816	2628876559	1251087	151	151	146	146	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10854	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ371-A4		EXT00116		A		4		35.67		ILLUMINA-DNA-PREP.V2	LIB-MJ382-A4		LIB00116		A		4		0.36		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ382-A4_02		LIB-MJ382-A4_02.fastq.gz	29774024	21368932	21799302	404485	1163310	72	6811340	0	4495877624	4266379244	3969474377	3156357082	3093735725	2938883700	495428	151	151	147	147	0.9	0.9	1	0.9	0	0.6	0.6	151
