sample_name	accession
MFD01928	SAMN39866846
MFD01929	SAMN39866847
MFD01930	SAMN39866848
MFD01931	SAMN39866849
MFD01932	SAMN39866850
MFD01933	SAMN39866851
MFD01934	SAMN39866852
MFD01935	SAMN39866853
MFD01936	SAMN39866854
MFD01937	SAMN39866855
MFD01938	SAMN39866856
MFD01939	SAMN39866857
MFD01940	SAMN39866858
MFD01941	SAMN39866859
MFD01942	SAMN39866860
MFD01943	SAMN39866861
MFD01944	SAMN39866862
MFD01945	SAMN39866863
MFD01946	SAMN39866864
MFD01947	SAMN39866865
MFD01948	SAMN39866866
MFD01949	SAMN39866867
MFD01950	SAMN39866868
MFD02008	SAMN39866869
MFD02015	SAMN39866870
MFD02016	SAMN39866871
MFD02019	SAMN39866872
MFD02021	SAMN39866873
MFD02022	SAMN39866874
MFD02024	SAMN39866875
MFD02026	SAMN39866876
MFD02030	SAMN39866877
MFD02032	SAMN39866878
MFD02036	SAMN39866879
MFD02046	SAMN39866880
MFD02051	SAMN39866881
MFD02053	SAMN39866882
MFD02054	SAMN39866883
MFD02057	SAMN39866884
MFD02058	SAMN39866885
MFD02059	SAMN39866886
MFD02065	SAMN39866887
MFD02067	SAMN39866888
MFD02121	SAMN39866889
MFD02122	SAMN39866890
MFD02123	SAMN39866891
MFD02124	SAMN39866892
MFD02125	SAMN39866893
MFD02126	SAMN39866894
MFD02127	SAMN39866895
MFD02128	SAMN39866896
MFD02130	SAMN39866897
MFD02131	SAMN39866898
MFD02132	SAMN39866899
MFD02133	SAMN39866900
MFD02134	SAMN39866901
MFD02135	SAMN39866902
MFD02136	SAMN39866903
MFD02137	SAMN39866904
MFD02138	SAMN39866905
MFD02139	SAMN39866906
MFD02140	SAMN39866907
MFD02141	SAMN39866908
MFD02142	SAMN39866909
MFD02143	SAMN39866910
MFD02144	SAMN39866911
MFD02145	SAMN39866912
MFD02146	SAMN39866913
MFD02147	SAMN39866914
MFD02148	SAMN39866915
MFD02149	SAMN39866916
MFD02150	SAMN39866917
MFD02151	SAMN39866918
MFD02152	SAMN39866919
MFD02153	SAMN39866920
MFD02154	SAMN39866921
MFD02155	SAMN39866922
MFD02156	SAMN39866923
MFD02157	SAMN39866924
MFD02158	SAMN39866925
MFD02159	SAMN39866926
MFD02160	SAMN39866927
MFD02161	SAMN39866928
MFD02162	SAMN39866929
MFD02163	SAMN39866930
MFD02164	SAMN39866931
MFD02165	SAMN39866932
MFD02166	SAMN39866933
MFD02167	SAMN39866934
MFD02168	SAMN39866935
MFD02169	SAMN39866936
MFD02170	SAMN39866937
MFD02171	SAMN39866938
MFD02172	SAMN39866939
MFD02173	SAMN39866940
MFD02174	SAMN39866941
MFD02175	SAMN39866942
MFD02176	SAMN39866943
MFD02177	SAMN39866944
MFD02178	SAMN39866945
MFD02179	SAMN39866946
MFD02180	SAMN39866947
MFD02181	SAMN39866948
MFD02182	SAMN39866949
MFD02183	SAMN39866950
MFD02184	SAMN39866951
MFD02185	SAMN39866952
MFD02186	SAMN39866953
MFD02187	SAMN39866954
MFD02188	SAMN39866955
MFD02189	SAMN39866956
MFD02190	SAMN39866957
MFD02191	SAMN39866958
MFD02192	SAMN39866959
MFD02193	SAMN39866960
MFD02194	SAMN39866961
MFD02195	SAMN39866962
MFD02196	SAMN39866963
MFD02197	SAMN39866964
